=== EquityResearchReport_101_200.csv === 
﻿銘柄コード,銘柄名,現在株価,レポート公開日,発表機関,レポートタイトル,レーティング,目標株価,目標株価乖離率,取得ページ
9765,オオバ,1074,2026/02/03,Sessa Partners,利益面は順調、民間受注の拡大が利益率改善を牽引,-,-,-,101
4043,トクヤマ,5512,2026/02/03,SBI証券,塩ビアジア市況は、中国の増値税還付廃止で価格上昇へ,買い →,5500,-0.22,101
9766,コナミグループ,19700,2026/02/03,岡三オンライン,コナミグループ（9766プライム）27/3期は「eFootball」と「遊戯王」が飛躍へ,強気 →,28600,45.18,101
9740,セントラル警備保障,2723,2026/02/03,岡三オンライン,セントラル警備保障（9740プライム）効率的な警備体制の構築が求められよう,中立 →,3050,12.01,101
2659,サンエー,3130,2026/02/03,岡三オンライン,サンエー（2659プライム）ROE8％以上の改善を優先させる方針,中立 →,3100,-0.96,101
7730,マニー,1737,2026/02/03 ( 2026/01/27 ),大和証券,新経営体制下、グローバル展開加速なるか,3 →,1650,-5.01,101
4544,ＨＵグループＨＤ,3357,2026/02/03,モルガンスタンレーMUFG証券,Research Tactical Idea,Equal-weight →,3300,-1.7,101
4901,富士フイルムＨＬＤＧＳ,3528,2026/02/03,モルガンスタンレーMUFG証券,3Q決算発表前の論点整理：来期業績成長確度に注目集まる,Overweight →,4600,30.39,101
7747,朝日インテック,3772,2026/02/03,モルガンスタンレーMUFG証券,Research Tactical Idea,Overweight →,4300,14.0,101
6481,ＴＨＫ,7609,2026/02/03,モルガンスタンレーMUFG証券,輸送用機器事業の譲渡を発表,Overweight →,4800,-36.92,101
4005,住友化学,584,2026/02/03,モルガンスタンレーMUFG証券,F3/26 3Q 決算速報：3Qでの配当予想引き上げ・通期ガイダンス上方修正はポジティブサプライズ,Overweight →,760,30.14,101
3003,ヒューリック,1656,2026/02/03,野村證券,36年を最終年とする中長期経営計画を公表,Neutral →,1860,12.32,101
3941,レンゴー,1389,2026/02/03,野村證券,決算速報：Q3の業績は順調に進捗,Buy →,1430,2.95,101
