日付,順位,コード,銘柄名,市場,株価(百万円),前日比(値),前日比(率),売買代金,PER,PBR,利回り
20260520,1,285A,キオクシア,東P,51290,+1520,+3.05%,1588513,ー倍,20.0倍,ー%
20260520,2,5803,フジクラ,東P,4295,-400,-8.52%,502313,45.6倍,12.7倍,0.88%
20260520,3,5801,古河電,東P,50860,+610,+1.21%,445162,43.6倍,8.58倍,0.43%
20260520,4,9984,ＳＢＧ,東P,5039,-322,-6.01%,361949,ー倍,1.63倍,0.22%
20260520,5,1570,日経レバ,東Ｅ,59060,-1470,-2.43%,238906,ー倍,ー倍,ー%
20260520,6,6857,アドテスト,東P,25625,+335,+1.32%,227284,39.9倍,23.4倍,ー%
20260520,7,8306,三菱ＵＦＪ,東P,3030.0,-78.0,-2.51%,159104,12.7倍,1.54倍,3.17%
20260520,8,8035,東エレク,東P,46100,-1060,-2.25%,139721,ー倍,10.3倍,ー%
20260520,9,5016,ＪＸ金属,東P,3779,-71,-1.84%,116936,30.7倍,4.82倍,0.53%
20260520,10,6920,レーザーテク,東P,35650,-410,-1.14%,109229,44.4倍,14.2倍,0.92%
20260520,11,8411,みずほＦＧ,東P,6982,+96,+1.39%,108447,13.1倍,1.50倍,2.15%
20260520,12,8316,三井住友ＦＧ,東P,5882,-60,-1.01%,107860,13.2倍,1.42倍,3.06%
20260520,13,6146,ディスコ,東P,61340,-260,-0.42%,105687,ー倍,11.3倍,ー%
20260520,14,4062,イビデン,東P,15640,+320,+2.09%,105180,75.3倍,7.94倍,0.22%
20260520,15,7974,任天堂,東P,7500,-19,-0.25%,89471,27.9倍,2.93倍,2.16%
