Ｊディスプレ 6740 東P 93 -2 -2.11% 275,840,000株 ー倍 -12倍 ー%
日経ベア２ 1360 東Ｅ 121.1 +5.4 +4.67% 230,916,160株 ー倍 ー倍 ー%
ランド 8918 東S 10 +1 +11.11% 229,855,000株 40.0倍 1.78倍 ー%
ＮＴＴ 9432 東P 157.0 +1.1 +0.71% 209,197,900株 13.3倍 1.34倍 3.38%
オンコセラピ 4564 東G 22 0 0.00% 146,980,200株 ー倍 4.08倍 ー%
ＳＢ 9434 東P 215.4 +2.4 +1.13% 85,926,400株 19.3倍 4.25倍 3.99%
ソレイジア 4597 東G 37 +5 +15.63% 71,464,100株 ー倍 5.76倍 ー%
東電ＨＤ 9501 東P 648.3 -13.0 -1.97% 69,989,300株 ー倍 0.38倍 ー%
ＳＢＧ 9984 東P 3,604 -160 -4.25% 68,824,100株 ー倍 1.31倍 0.31%
ソニーＦＧ 8729 東P 146.7 -0.1 -0.07% 63,912,200株 19.7倍 1.48倍 2.59%
フジクラ 5803 東P 4,293 -153 -3.44% 56,992,200株 47.4倍 14.0倍 0.83%
三菱ＵＦＪ 8306 東P 2,760.0 -48.0 -1.71% 46,325,800株 14.8倍 1.46倍 2.68%
キオクシア 285A 東P 21,095 -705 -3.23% 45,516,500株 23.8倍 11.8倍 ー%
日経ブル２ 1579 東Ｅ 495.0 -25.5 -4.90% 39,533,260株 ー倍 ー倍 ー%
ＪＸ金属 5016 東P 3,528.0 -169.0 -4.57% 38,321,200株 35.1倍 4.92倍 0.77%
三菱重 7011 東P 4,711 +121 +2.64% 34,583,700株 60.9倍 5.97倍 0.51%
ＩＮＰＥＸ 1605 東P 4,567 -134 -2.85% 32,548,200株 16.1倍 1.12倍 2.36%
日産自 7201 東P 345.8 -0.3 -0.09% 28,935,600株 ー倍 0.25倍 ー%
日本製鉄 5401 東P 584.0 -8.0 -1.35% 26,219,900株 ー倍 0.57倍 4.11%
日本コークス 3315 東P 116 -5 -4.13% 24,599,900株 ー倍 0.91倍 ー%
