キオクシア,285A,東P,Ｓ,"52,110","-10,000",-16.10,%,"2,210,643",ー
東エレク,8035,東P,"65,100","-5,790",-8.17,%,"412,117",ー,倍
日経レバ,1570,東Ｅ,"66,090","-5,770",-8.03,%,"382,309",ー,倍
ＳＢＧ,9984,東P,"5,424",-537,-9.01,%,"379,704",ー,倍
アドテスト,6857,東P,"27,505","-2,135",-7.20,%,"363,114",42.8,倍
村田製,6981,東P,"7,632",-768,-9.14,%,"333,031",47.4,倍
太陽誘電,6976,東P,"11,035","-1,490",-11.90,%,"321,384",76.7,倍
レーザーテク,6920,東P,"41,890","-4,480",-9.66,%,"211,064",52.2,倍
フジクラ,5803,東P,"4,472",-289,-6.07,%,"209,605",32.3,倍
三菱ＵＦＪ,8306,東P,"3,473.0",-156.0,-4.30,%,"206,718",14.5,倍
イビデン,4062,東P,"15,685","-1,720",-9.88,%,"188,708",75.5,倍
ファストリ,9983,東P,"78,840",0,0.00,%,"135,781",48.4,倍
三井住友ＦＧ,8316,東P,"6,721",-309,-4.40,%,"119,930",15.0,倍
みずほＦＧ,8411,東P,"7,930",-510,-6.04,%,"115,911",14.8,倍
ディスコ,6146,東P,"64,780","-5,810",-8.23,%,"113,625",ー,倍
トヨタ,7203,東P,"2,899.5",-9.5,-0.33,%,"103,329",11.5,倍
コクサイエレ,6525,東P,"8,801","-1,089",-11.01,%,"102,587",53.0,倍
ＪＸ金属,5016,東P,"3,558",-294,-7.63,%,"100,013",27.9,倍
任天堂,7974,東P,"7,294",+214,+3.02,%,"88,911",27.1,倍
ＳＵＭＣＯ,3436,東P,Ｓ,"3,914",-700,-15.17,%,"87,596",ー
