日付,時間,値,前日比(率),前日比(値),始値,始値(時),高値,高値(時),安値,安値(時)
2026.05.25,15:50,29.70,+4.76%,+1.35,32.61,09:00,33.50,15:09,27.89,10:32
2026.05.26,15:50,29.36,-1.14%,-0.34,33.18,09:00,33.88,09:08,29.36,15:46
2026.05.27,15:50,31.14,+6.06%,+1.78,31.64,09:00,33.39,09:44,31.14,15:46
2026.05.28,15:50,26.95,-13.46%,-4.19,32.25,09:00,34.27,13:28,26.95,15:46
2026.05.29,15:50,26.04,-3.38%,-0.91,32.26,09:00,33.17,13:30,26.04,15:46
2026.06.01,15:50,28.54,+9.60%,+2.50,33.39,09:00,33.42,09:00,28.54,15:46
2026.06.02,15:50,33.68,+18.01%,+5.14,32.07,09:00,34.30,13:14,21.29,10:43
2026.06.03,15:50,29.31,-12.98%,-4.37,31.75,09:00,32.71,10:19,29.31,15:46
2026.06.04,15:50,29.46,+0.51%,+0.15,32.79,09:00,33.60,13:04,29.46,15:46
2026.06.05,15:50,28.37,-3.70%,-1.09,32.75,09:00,34.25,10:25,28.37,15:46
2026.06.08,15:50,32.46,+14.42%,+4.09,33.67,09:00,42.15,09:14,32.14,10:50
2026.06.09,15:50,32.65,+0.59%,+0.19,35.86,09:00,37.17,09:57,32.65,15:46
2026.06.10,15:50,38.01,+16.42%,+5.36,37.56,09:00,39.74,13:47,36.80,09:31
2026.06.11,15:50,38.22,+0.55%,+0.21,39.24,09:00,41.26,09:10,37.45,15:39
2026.06.12,15:50,37.28,-2.46%,-0.94,33.52,09:00,39.49,15:30,33.52,09:00
2026.06.15,15:50,34.78,-6.71%,-2.50,37.79,09:00,37.86,09:03,34.78,15:46
2026.06.16,15:50,31.09,-10.61%,-3.69,34.62,09:00,34.85,09:15,31.09,15:46
2026.06.17,15:50,29.11,-6.37%,-1.98,33.41,09:00,33.41,09:00,29.11,15:46
2026.06.18,15:50,30.53,+4.88%,+1.42,31.82,09:00,33.25,15:09,30.53,15:46
2026.06.18,15:50,30.53,+4.88%,+1.42,31.82,09:00,33.25,15:09,30.53,15:46
2026.06.19,15:50,29.94,-1.93%,-0.59,33.37,09:00,34.59,13:56,29.94,15:46
2026.06.22,15:50,29.43,-1.70%,-0.51,33.95,09:00,35.81,15:30,29.43,15:46
2026.06.23,15:50,31.34,+6.49%,+1.91,35.02,09:00,41.56,15:30,31.34,15:46
2026.06.24,15:50,39.69,+26.64%,+8.35,40.00,09:00,41.60,13:26,37.98,11:32
