キオクシア,285A,東P,Ｓ,"44,550","-10,000",-18.33,%,"1,799,712",ー
ＳＢＧ,9984,東P,"5,095",-236,-4.43,%,"300,752",ー,倍
アドテスト,6857,東P,"25,510","-2,870",-10.11,%,"265,873",39.7,倍
東エレク,8035,東P,"55,920","-6,880",-10.96,%,"245,782",ー,倍
日経レバ,1570,東Ｅ,"62,100","-5,490",-8.12,%,"236,665",ー,倍
村田製,6981,東P,"7,153",-949,-11.71,%,"225,027",44.4,倍
三菱ＵＦＪ,8306,東P,"3,661",-138,-3.63,%,"214,137",15.3,倍
太陽誘電,6976,東P,"10,275","-1,270",-11.00,%,"211,023",74.4,倍
フジクラ,5803,東P,"4,073",-252,-5.83,%,"162,123",29.5,倍
ファストリ,9983,東P,"79,950","+2,580",+3.33,%,"125,345",49.1,倍
レーザーテク,6920,東P,"37,440","-6,120",-14.05,%,"124,622",46.6,倍
イビデン,4062,東P,"14,855","-1,845",-11.05,%,"118,052",71.6,倍
ディスコ,6146,東P,"54,900","-7,750",-12.37,%,"117,770",ー,倍
任天堂,7974,東P,"7,659",+228,+3.07,%,"109,904",28.5,倍
三井住友ＦＧ,8316,東P,"6,934",-280,-3.88,%,"103,605",15.5,倍
みずほＦＧ,8411,東P,"8,210",-421,-4.88,%,"97,577",15.4,倍
信越化,4063,東P,"5,872",-274,-4.46,%,"92,040",20.7,倍
トヨタ,7203,東P,"3,008.0",+42.5,+1.43,%,"91,462",11.9,倍
ソニーＧ,6758,東P,"3,662.0",+88.0,+2.46,%,"79,409",18.5,倍
富士通,6702,東P,"3,700.0",+218.0,+6.26,%,"65,390",20.7,倍
