日付,順位,銘柄名,コード,市場,株価,前日差,騰落率,出来高,PER,PBR,配当利回り
20260522,1,キオクシア,285A,東P,"55,340","+4,050",+7.90%,"3,087,932",ー倍,21.6倍,ー%
20260522,2,フジクラ,5803,東P,"4,501",+206,+4.80%,"442,044",47.8倍,13.3倍,0.84%
20260522,3,アドテスト,6857,東P,"26,745","+1,120",+4.37%,"261,930",41.7倍,24.4倍,ー%
20260522,4,古河電,5801,東P,"49,280","-1,580",-3.11%,"235,391",42.3倍,8.31倍,0.45%
20260522,5,日経レバ,1570,東Ｅ,"62,540","+3,480",+5.89%,"209,246",ー倍,ー倍,ー%
20260522,6,イビデン,4062,東P,"17,875","+2,235",+14.29%,"161,314",86.1倍,9.07倍,0.20%
20260522,7,ディスコ,6146,東P,"65,650","+4,310",+7.03%,"136,244",ー倍,12.1倍,ー%
20260522,8,東エレク,8035,東P,"48,800","+2,700",+5.86%,"132,969",ー倍,10.9倍,ー%
20260522,9,レーザーテク,6920,東P,"38,060","+2,410",+6.76%,"130,536",47.4倍,15.1倍,0.86%
20260522,10,みずほＦＧ,8411,東P,"7,301",+319,+4.57%,"124,276",13.7倍,1.57倍,2.05%
20260522,11,三菱重,7011,東P,"3,958",-66,-1.64%,"112,372",35.0倍,4.31倍,0.73%
20260522,12,三井住友ＦＧ,8316,東P,"6,031",+149,+2.53%,"110,780",13.5倍,1.46倍,2.98%
20260522,13,村田製,6981,東P,"6,727",+563,+9.13%,"105,554",41.8倍,4.50倍,1.04%
20260522,14,ＪＸ金属,5016,東P,"3,928",+149,+3.94%,"104,213",31.9倍,5.01倍,0.51%
20260522,15,三井金属,5706,東P,"46,670","+2,310",+5.21%,"92,654",35.6倍,6.48倍,0.60%
20260522,16,東京海上,8766,東P,"7,697",-120,-1.54%,"90,989",17.8倍,2.73倍,3.18%
20260522,17,日立,6501,東P,"5,123",+215,+4.38%,"90,093",27.1倍,3.50倍,ー%
20260522,18,ＱＤレーザ,6613,東G,"2,600",-45,-1.70%,"80,921",ー倍,22.3倍,ー%
20260522,19,任天堂,7974,東P,"7,274",-226,-3.01%,"72,441",27.1倍,2.84倍,2.23%
