日付,順位,銘柄名,コード,市場,状態,株価,前日差,騰落率,売買代金,PER,PBR,配当利回り
20260917,1,キオクシア,285A,東P,,"49,880",-900,-1.77%,"1,262,015",ー倍,11.0倍,ー%
20260917,2,ＳＢＧ,9984,東P,,"6,247",+64,+1.04%,"389,502",ー倍,1.93倍,0.18%
20260917,3,太陽誘電,6976,東P,,"9,000",-364,-3.89%,"237,443",41.1倍,3.24倍,1.00%
20260917,4,アドテスト,6857,東P,,"30,240",-460,-1.50%,"220,187",33.1倍,20.9倍,ー%
20260917,5,イビデン,4062,東P,,"18,475",-475,-2.51%,"160,488",62.2倍,9.11倍,0.19%
20260917,6,フジクラ,5803,東P,,"4,867",+28,+0.58%,"148,238",24.7倍,13.2倍,0.78%
20260917,7,東エレク,8035,東P,,"50,970",-720,-1.39%,"142,378",ー倍,10.9倍,ー%
20260917,8,村田製,6981,東P,,"7,431",-202,-2.65%,"142,198",39.8倍,4.88倍,0.94%
20260917,9,三菱ＵＦＪ,8306,東P,,"3,652.0",-3.0,-0.08%,"141,902",15.2倍,1.81倍,2.63%
20260917,10,レーザーテク,6920,東P,,"35,960",+210,+0.59%,"134,484",35.8倍,13.1倍,0.98%
20260917,11,日経レバ,1570,東Ｅ,,"64,930",+440,+0.68%,"132,782",ー倍,ー倍,ー%
20260917,12,古河電,5801,東P,,"3,763",-49,-1.29%,"89,419",25.2倍,6.06倍,0.58%
20260917,13,三菱重,7011,東P,,"3,887",+150,+4.01%,"81,290",34.4倍,4.12倍,0.75%
20260917,14,ＪＸ金属,5016,東P,,"3,500.0",-152.0,-4.16%,"73,550",22.2倍,4.87倍,0.57%
20260917,15,ディスコ,6146,東P,,"50,590",-410,-0.80%,"70,704",ー倍,9.45倍,ー%
20260917,16,三井住友ＦＧ,8316,東P,,"6,878",+36,+0.53%,"70,551",15.3倍,1.62倍,2.62%
20260917,17,リクルート,6098,東P,,"17,445",+290,+1.69%,"66,618",32.0倍,13.6倍,0.15%
20260917,18,みずほＦＧ,8411,東P,,"8,549",-17,-0.20%,"64,690",14.8倍,1.80倍,1.75%
20260917,19,任天堂,7974,東P,,"8,475",+349,+4.29%,"64,296",31.5倍,3.35倍,1.91%
20260917,20,トヨタ,7203,東P,,"3,034.0",+18.0,+0.60%,"63,430",11.0倍,0.96倍,3.30%
20260917,21,コクサイエレ,6525,東P,,"8,284",-228,-2.68%,"58,697",34.8倍,8.59倍,0.78%
20260917,22,伊藤忠,8001,東P,,"2,370.0",+47.5,+2.05%,"51,058",17.5倍,2.45倍,1.86%
20260917,23,ファストリ,9983,東P,,"67,700",+670,+1.00%,"50,921",41.6倍,7.61倍,0.95%
20260917,24,日立,6501,東P,,"5,475",+103,+1.92%,"47,731",27.1倍,3.71倍,ー%
20260917,25,東京海上,8766,東P,,"8,298",+198,+2.44%,"45,789",18.9倍,1.91倍,2.95%
20260917,26,三井金属,5706,東P,,"21,235","-1,525",-6.70%,"40,397",15.2倍,2.88倍,1.32%
20260917,27,レオパレス,8848,東P,,"1,060",+119,+12.65%,"38,340",15.7倍,7.00倍,ー%
20260917,28,住友電,5802,東P,,"2,052.5",+6.0,+0.29%,"38,127",18.8倍,2.26倍,1.90%
20260917,29,ソニーＧ,6758,東P,,"3,754",+35,+0.94%,"37,888",18.1倍,2.62倍,0.93%
20260917,30,ＩＨＩ,7013,東P,,"2,842.5",+63.0,+2.27%,"37,382",17.5倍,4.33倍,0.81%
20260917,31,パナＨＤ,6752,東P,,"4,262",-119,-2.72%,"34,552",22.1倍,1.84倍,1.27%
20260917,32,信越化,4063,東P,,"5,762",-58,-1.00%,"33,938",19.9倍,2.30倍,2.36%
20260917,33,テラドローン,278A,東G,,"19,010","+1,740",+10.08%,"32,694",ー倍,20.1倍,ー%
20260917,34,ＨＯＹＡ,7741,東P,,"22,655",+265,+1.18%,"32,461",ー倍,7.44倍,ー%
20260917,35,キーエンス,6861,東P,,"76,100",+200,+0.26%,"31,660",ー倍,5.20倍,0.72%
20260917,36,ＮＴＴ,9432,東P,,180.0,+2.9,+1.64%,"30,802",14.9倍,1.48倍,3.00%
20260917,37,三菱商,8058,東P,,"4,979",+35,+0.71%,"30,045",16.6倍,1.89倍,2.51%
20260917,38,ルネサス,6723,東P,,"3,168.0",-72.0,-2.22%,"29,443",ー倍,2.03倍,ー%
20260917,39,住友鉱,5713,東P,,"9,328",-372,-3.84%,"28,152",11.6倍,1.18倍,2.22%
20260917,40,丸紅,8002,東P,,"5,020",+32,+0.64%,"28,072",14.1倍,1.83倍,2.29%
20260917,41,ＳＵＭＣＯ,3436,東P,,"2,867.5",-109.0,-3.66%,"28,055",ー倍,1.77倍,ー%
20260917,42,武田,4502,東P,,"5,946",+99,+1.69%,"27,746",57.2倍,1.26倍,3.43%
20260917,43,商船三井,9104,東P,,"7,438",+289,+4.04%,"27,682",10.7倍,0.86倍,2.76%
20260917,44,川重,7012,東P,,"2,421.0",+32.5,+1.36%,"26,836",18.4倍,2.39倍,1.65%
20260917,45,レゾナック,4004,東P,,"13,560",-570,-4.03%,"26,082",22.9倍,3.26倍,0.48%
20260917,46,日本製鉄,5401,東P,,702.6,+19.9,+2.91%,"25,789",12.7倍,0.65倍,3.42%
20260917,47,ＪＴ,2914,東P,,"6,916",+143,+2.11%,"25,529",19.1倍,2.79倍,3.93%
20260917,48,三井物,8031,東P,,"5,224",+50,+0.97%,"24,325",16.1倍,1.65倍,2.68%
20260917,49,郵船,9101,東P,,"7,566",+192,+2.60%,"23,977",12.7倍,0.98倍,3.17%
20260917,50,富士通,6702,東P,,"4,008",+74,+1.88%,"23,652",22.4倍,3.40倍,1.37%
20260917,51,野村,8604,東P,,"1,590.5",-44.0,-2.69%,"23,018",ー倍,1.21倍,ー%
20260917,52,スクリン,7735,東P,,"12,320",-350,-2.76%,"22,827",20.3倍,4.69倍,1.49%
20260917,53,三菱電,6503,東P,,"5,164",+4,+0.08%,"22,774",21.4倍,2.31倍,1.16%
