No,コード,銘柄名,市場,株価,前日比,前日比(%),出来高(株),PER(倍),PBR(倍),利回り(%),売買金額
1,9432,ＮＴＴ,東P,151.8,+2.2,+1.47,278152000,12.6,1.27,3.56,42223473600
2,8918,ランド,東S,10,0,0.00,218909200,11.4,1.68,ー,2189092000
3,1360,日経ベア２,東Ｅ,85.8,+3.1,+3.75,166918230,ー,ー,ー,14321584134
4,4564,オンコセラピ,東G,20,-1,-4.76,151570000,ー,3.70,ー,3031400000
5,5803,フジクラ,東P,"5,819",-536,-8.43,128904500,61.8,17.2,0.65,750095285500
6,6740,Ｊディスプレ,東P,68,-2,-2.86,105673800,ー,-6.7,ー,7185818400
7,9434,ＳＢ,東P,225.0,+3.1,+1.40,85367500,19.5,4.08,3.91,19207687500
8,9984,ＳＢＧ,東P,"5,745",-25,-0.43,69924000,ー,1.86,0.19,401713380000
9,8729,ソニーＦＧ,東P,147.0,+0.5,+0.34,65986600,ー,1.57,5.44,9700030200
10,7201,日産自,東P,375.0,+9.3,+2.54,57147000,65.6,0.27,ー,21430125000
11,4597,ソレイジア,東G,30,0,0.00,55055400,ー,4.79,ー,1651662000
12,7267,ホンダ,東P,"1,430.0",+110.0,+8.33,54232300,21.4,0.47,4.90,77552189000
13,3350,メタプラ,東S,328,+19,+6.15,49529000,ー,1.04,ー,16245512000
14,8306,三菱ＵＦＪ,東P,"2,929.0",+52.0,+1.81,47220900,12.2,1.48,3.28,138310016100
15,9501,東電ＨＤ,東P,592.7,-16.3,-2.68,46892500,ー,0.40,ー,27793184750
16,7203,トヨタ,東P,"3,085.0",+77.0,+2.56,43178700,13.4,1.01,3.24,133206289500
17,285A,キオクシア,東P,"44,450","-4,010",-8.27,37961800,ー,17.4,ー,1687402010000
18,5401,日本製鉄,東P,559.9,+3.7,+0.67,37792300,13.3,0.53,4.29,21159908770
19,6758,ソニーＧ,東P,"3,576.0",+132.0,+3.83,31904000,18.2,2.60,0.98,114088704000
20,5016,ＪＸ金属,東P,"4,175",-272,-6.12,31428800,33.9,5.32,0.48,131215240000
21,4005,住友化,東P,623.6,+20.1,+3.33,30518900,14.7,1.02,2.57,19031586040
22,4755,楽天グループ,東P,778.3,+17.8,+2.34,29190700,ー,1.88,ー,22719121810
23,7272,ヤマハ発,東P,"1,325.5",+159.5,+13.68,28617000,12.9,1.11,3.77,37931833500
24,7011,三菱重,東P,"4,080",-82,-1.97,26236100,36.1,4.44,0.71,107043288000
25,3656,ＫＬａｂ,東P,275,+37,+15.55,24671600,ー,2.12,ー,6784690000
26,7013,ＩＨＩ,東P,"2,685.0",+5.5,+0.21,21303400,17.3,4.36,0.86,57199629000
27,1579,日経ブル２,東Ｅ,672.6,-26.7,-3.82,20514320,ー,ー,ー,13797931632
28,8750,第一ライフ,東P,"1,618.0",+118.0,+7.87,19665600,11.4,1.37,4.45,31818940800
29,4689,ラインヤフー,東P,417.3,+12.5,+3.09,19292100,ー,0.95,2.64,8050593330
30,6723,ルネサス,東P,"3,647",-207,-5.37,19071900,ー,2.60,ー,69555219300
31,6526,ソシオネクス,東P,"2,426.0",+131.0,+5.71,19064500,42.5,3.20,2.06,46250477000
32,7270,ＳＵＢＡＲＵ,東P,"2,567.5",+165.5,+6.89,18708400,14.1,0.66,4.52,48033817000
33,1459,楽天Ｗベア,東Ｅ,142,+6,+4.41,18486650,ー,ー,ー,2625104300
34,8801,三井不,東P,"1,539.5",+11.5,+0.75,17988500,14.7,1.28,2.40,27693295750
35,3436,ＳＵＭＣＯ,東P,"3,090.0",-337.0,-9.83,17626900,ー,1.90,ー,54467121000
36,8001,伊藤忠,東P,"2,059.0",+15.0,+0.73,17529600,15.2,2.18,2.14,36093446400
37,7211,三菱自,東P,347.0,+9.3,+2.75,17503300,18.6,0.51,2.88,6073645100
38,2181,パーソルＨＤ,東P,236.3,+0.2,+0.08,17425500,11.8,2.40,5.50,4117645650
39,8136,サンリオ,東P,855.4,+11.2,+1.33,16478500,19.9,7.53,1.54,14095708900
40,186A,アストロＨＤ,東G,"1,932",+72,+3.87,16135100,ー,25.2,ー,31173013200
41,543A,ＡＲＣＨＩＯ,東P,365,+29,+8.63,15915400,13.5,2.05,2.19,5809121000
42,8316,三井住友ＦＧ,東P,"5,702",+27,+0.48,15463800,12.8,1.38,3.16,88174587600
43,1306,野村東証指数,東Ｅ,409.9,-1.3,-0.32,15449260,ー,ー,ー,6332651674
44,6501,日立,東P,"4,812",+141,+3.02,15316500,25.4,3.29,ー,73702998000
45,6752,パナＨＤ,東P,"3,293.0",-84.0,-2.49,14918100,18.3,1.48,1.64,49125303300
46,9433,ＫＤＤＩ,東P,"2,724.0",+78.5,+2.97,14730700,ー,2.04,3.08,40126426800
47,6954,ファナック,東P,"8,228",+192,+2.39,14410600,41.5,4.12,ー,118570416800
48,6762,ＴＤＫ,東P,"2,993.0",-79.0,-2.57,13723700,25.3,2.60,1.34,41075034100
49,6594,ニデック,東P,"2,573",-114,-4.24,13620200,ー,1.68,ー,35044774600
50,6472,ＮＴＮ,東P,410.8,-45.3,-9.93,13443900,16.3,0.82,3.16,5522754120
51,7012,川重,東P,"3,048.0",-114.0,-3.61,13209800,23.2,2.90,1.31,40263470400
52,6613,ＱＤレーザ,東G,"1,727",+148,+9.37,13178900,ー,14.8,ー,22759960300
53,6981,村田製,東P,"6,151",-188,-2.97,13040900,38.2,4.12,1.14,80214575900
